Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
284,Sergei Khazov,Kazakhstan,Male,M40-44,1,8:43:25,1,56:20:00,3,4:32:10,3,3:09:03,3,Finisher
6,Sanghwan Oh,Korea,Male,M50-54,1,8:52:37,2,1:15:00,54,4:20:06,2,3:11:19,4,Finisher
11,Brenteson John,United States,Male,M30-34,1,9:06:06,3,1:00:20,6,4:43:08,6,3:17:23,6,Finisher
42,Evgeniy Perevalov,Unknown,Male,M35-39,1,9:22:41,4,1:05:53,14,4:53:01,12,3:18:08,7,Finisher
102,Zijie Chen,China,Male,M25-29,1,9:23:18,5,1:08:20,23,4:42:58,5,3:26:00,11,Finisher
17,Hyungeun Kang,Korea,Male,M35-39,2,9:25:22,6,1:05:14,11,4:47:01,7,3:25:50,10,Finisher
126,Diana Trubkovich,Uzbekistan,Female,F25-29,1,9:30:46,7,56:23:00,4,5:08:37,30,3:19:59,8,Finisher
41,Tsuyoshi Ohno,Japan,Male,M35-39,3,9:35:24,8,1:07:15,22,4:51:37,10,3:28:48,13,Finisher
4,Yong Jin Kim,Korea,Male,M40-44,2,9:41:04,9,1:18:05,90,4:41:30,4,3:33:06,17,Finisher
334,박 진홍,Korea,Male,M40-44,3,9:46:57,10,1:10:16,25,4:47:52,8,3:34:44,19,Finisher
43,Xinwei Qian,China,Male,M35-39,4,9:49:42,11,1:16:08,62,5:10:11,33,3:16:13,5,Finisher
22,Hyeonsu Lee,Korea,Male,M40-44,4,9:50:11,12,1:10:26,26,5:06:43,26,3:29:21,14,Finisher
200,Dong Kyu Kim,Korea,Male,M35-39,5,9:53:54,13,1:15:40,57,4:53:58,13,3:37:52,28,Finisher
229,鹏飞 王,China,Male,M35-39,6,10:03:25,14,1:21:19,130,5:03:55,21,3:31:15,15,Finisher
3,Ling Er Choo,Singapore,Female,F35-39,1,10:05:44,15,1:10:50,30,5:12:33,39,3:36:12,25,Finisher
212,Seung Hwan Lee,Korea,Male,M35-39,7,10:08:26,16,1:10:11,24,5:14:20,49,3:35:55,23,Finisher
55,Kwangwon Kim,Korea,Male,M45-49,1,10:12:39,17,1:06:51,19,4:52:45,11,4:04:33,81,Finisher
245,창연 이,Korea,Male,M35-39,8,10:13:33,18,53:15:00,1,5:12:26,37,3:56:03,57,Finisher
61,Hyungwon Moon,Korea,Male,M50-54,2,10:17:20,19,1:21:01,125,5:26:50,77,3:22:14,9,Finisher
405,Yong Hyo Lee,Korea,Male,M45-49,2,10:25:32,20,1:14:10,47,5:17:47,55,3:45:15,36,Finisher
300,Dongdong Liu,China,Male,M40-44,5,10:25:52,21,1:05:07,10,4:56:45,15,4:12:38,109,Finisher
19,Hyunjin Kim,Korea,Male,M35-39,9,10:27:58,22,1:17:02,72,5:09:01,31,3:53:07,47,Finisher
371,Youngjin Choi,Korea,Male,M45-49,3,10:29:39,23,1:15:05,55,5:06:03,24,4:03:02,78,Finisher
38,Andrei O Sajulga,Philippines,Male,M25-29,2,10:30:07,24,1:06:11,17,5:04:34,23,4:11:54,104,Finisher
193,Stupachuk Dmitrii,Unknown,Male,M35-39,10,10:30:22,25,1:13:30,39,5:03:17,20,4:06:56,92,Finisher
24,Jungwoo Suh,Korea,Male,M40-44,6,10:32:22,26,1:14:01,46,5:29:12,82,3:42:11,32,Finisher
202,Hyeontae Kim,Korea,Male,M35-39,11,10:34:58,27,1:11:43,36,4:54:26,14,4:19:50,127,Finisher
327,Jingjun Zhou,China,Male,M40-44,7,10:35:07,28,1:14:53,50,5:28:01,81,3:37:52,29,Finisher
187,Christoph Billen,Germany,Male,M35-39,12,10:37:18,29,1:13:46,42,5:00:17,17,4:14:08,112,Finisher
34,Ojin Kim,Korea,Male,M55-59,1,10:37:50,30,1:21:12,128,5:22:40,63,3:44:45,35,Finisher
80,Godwin Jacob Taylor,Philippines,Male,M18-24,1,10:38:55,31,1:02:37,8,5:23:05,65,4:07:59,96,Finisher
13,Byungeun Lee,Korea,Male,M30-34,2,10:40:47,32,1:30:23,276,5:08:25,28,3:52:52,46,Finisher
415,Do Hyun Park,Korea,Male,M45-49,4,10:40:59,33,1:22:51,146,5:34:35,100,3:31:22,16,Finisher
107,Hoihang Wong,United Kingdom,Male,M25-29,3,10:41:17,34,1:19:12,103,5:37:04,104,3:34:52,20,Finisher
33,Guy Dru Drury,United Kingdom,Male,M55-59,2,10:42:35,35,1:14:58,53,5:23:00,64,3:54:22,54,Finisher
